#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,12.273087
0.0,201,12.422501
0.0,201,12.603261
0.0,201,12.763729
0.0,201,12.923284
0.0,201,13.079822
0.0,201,13.230402
0.0,201,13.38353
0.0,201,13.533118
0.0,201,13.686271
100.0,1,13.686924
0.0,201,13.833961
0.0,201,13.984339
0.0,201,14.13835
0.0,201,14.292613
0.0,201,14.447901
0.0,201,14.609198
0.0,201,14.788068
0.0,201,14.954947
0.0,201,15.105256
0.0,201,15.262477
0.0,201,15.405021
0.0,201,15.560164
0.0,201,15.708445
0.0,201,15.867987
0.0,201,16.015729
0.0,201,16.166306
0.0,201,16.321067
0.0,201,16.472325
0.0,201,16.631647
0.0,201,16.807171
0.0,201,16.983014
0.0,201,17.149395
0.0,201,17.299031
0.0,201,17.457251
0.0,201,17.616093
0.0,201,17.778394
0.0,201,17.930667
0.0,201,18.101209
0.0,201,18.262004
0.0,201,18.411344
0.0,201,18.632172
0.0,201,18.79797
0.0,201,18.94688
0.0,201,19.14335
0.0,201,19.334028
0.0,201,19.491032
0.0,201,19.655446
0.0,201,19.80844
0.0,201,20.002804
0.0,201,20.185511
0.0,201,20.348573
0.0,201,20.501041
0.0,201,20.655089
0.0,201,20.803962
0.0,201,20.960435
0.0,201,21.126171
0.0,201,21.30375
0.0,201,21.465629
0.0,201,21.643476
0.0,201,21.807213
0.0,201,21.958934
0.0,201,22.115688
0.0,201,22.276267
0.0,201,22.439071
0.0,201,22.595564
0.0,201,22.773479
0.0,201,22.935686
0.0,201,23.094834
0.0,201,23.267826
0.0,201,23.424532
0.0,201,23.603589
0.0,201,23.760946
0.0,201,23.918068
0.0,201,24.07301
0.0,201,24.233268
0.0,201,24.379232
0.0,201,24.532862
0.0,201,24.684271
0.0,201,24.848269
0.0,201,25.008863
0.0,201,25.168607
0.0,201,25.339753
0.0,201,25.489071
100.0,4,25.493379
0.0,201,25.671916
0.0,201,25.827014
0.0,201,25.984777
0.0,201,26.137493
0.0,201,26.297437
0.0,201,26.45216
0.0,201,26.608918
0.0,201,26.783381
0.0,201,26.936508
0.0,201,27.10038
0.0,201,27.260226
0.0,201,27.428465
0.0,201,27.592866
0.0,201,27.774365
0.0,201,27.955699
